rank,name_display_last_init,team_abbrev,active_sw,player_id,pos,g,ab,r,h,d,t,hr,rbi,bb,so,sb,cs,avg,obp,slg,ops,ibb,hbp,sac,sf,tb,xbh,gidp,go,ao,go_ao,np,tpa
0,1," Carlyle, B",NYM, ,234194,P,27,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,5,1
1,1," Gomez, J",PIT, ,491646,P,41,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,1,0,1,0,0,1,0,*.**,4,2
2,1," Schlitter, B",CHC, ,489295,P,57,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,1,1
3,1," Schlosser, G",ATL, ,534576,P,14,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,4,1
4,5," Familia, J",NYM, ,544727,P,71,3,0,2,0,0,0,1,0,0,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,1,0,*.**,7,3
5,6," Rivero, C",BOS, ,491640,3B,4,7,1,4,2,0,1,3,1,0,0,0,.571,.625,1.286,1.911,0,0,0,0,9,3,0,3,0,*.**,31,8
6,7," Buchholz, C",BOS, ,453329,P,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,11,2
7,7," Chafin, A",ARI, ,605177,P,1,2,0,1,0,0,0,1,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,7,2
8,7," Hutchison, D",TOR, ,571800,P,4,4,0,2,0,0,0,0,0,2,0,0,.500,.500,.500,1.000,0,0,0,0,2,0,0,0,0,-.--,15,4
9,7," McAllister, Z",CLE, ,502083,P,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,1,2,0,*.**,4,2
10,7," Ray, R",DET, ,592662,P,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,8,2
11,7," Tepesch, N",TEX, ,519344,P,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,1,0.00,12,2
12,7," Villarreal, P",CIN, ,543881,P,10,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,6,2
13,14," Brown, G",SF, ,518502,CF,7,7,1,3,0,0,0,1,0,0,0,0,.429,.429,.429,.857,0,0,0,0,3,0,0,2,2,1.00,20,7
14,15," Lewis, C",TEX, ,407890,P,2,5,0,2,0,0,0,1,0,2,0,0,.400,.400,.400,.800,0,0,0,0,2,0,0,0,1,0.00,14,5
15,15," Maness, S",STL, ,595307,P,69,5,0,2,0,0,0,0,0,0,0,0,.400,.400,.400,.800,0,0,0,0,2,0,0,3,0,*.**,24,5
16,17," Moya, S",DET, ,570615,RF,11,8,2,3,0,0,0,0,0,2,0,0,.375,.375,.375,.750,0,0,0,0,3,0,0,2,1,2.00,31,8
17,18," Kouzmanoff, K",TEX, ,450260,3B,13,47,8,17,6,0,2,10,2,7,0,0,.362,.412,.617,1.029,1,2,0,0,29,8,2,14,11,1.27,184,51
18,19," Stassi, M",HOU, ,545358,C,7,20,2,7,2,0,0,4,0,6,0,0,.350,.350,.450,.800,0,0,0,0,9,2,0,3,4,0.75,77,20
19,20," Smolinski, J",TEX, ,519295,LF,24,86,12,30,5,0,3,12,3,24,0,0,.349,.391,.512,.903,0,3,0,0,44,8,1,16,17,0.94,366,92
20,21," Ynoa, R",COL, ,501255,3B,19,67,5,23,6,1,0,13,4,9,0,0,.343,.380,.463,.843,0,0,0,0,31,7,1,21,15,1.40,272,71
21,22," Morgan, N",CLE, ,460579,CF,15,41,8,14,1,0,1,6,7,6,3,0,.341,.429,.439,.868,0,0,3,1,18,2,0,14,11,1.27,187,52
22,23," Altuve, J",HOU, ,514888,2B,158,660,85,225,47,3,7,59,36,53,56,9,.341,.377,.453,.830,7,5,1,5,299,57,20,219,189,1.16,2200,707
23,24," Turner, J",LAD, ,457759,3B,109,288,46,98,21,1,7,43,28,58,6,1,.340,.404,.493,.897,1,4,0,2,142,29,6,84,56,1.50,1338,322
24,25," Tulowitzki, T",COL, ,453064,SS,91,315,71,107,18,1,21,52,50,57,1,1,.340,.432,.603,1.035,4,5,0,5,190,40,4,73,87,0.84,1430,375
25,26," Martinez, V",DET, ,400121,DH,151,561,87,188,33,0,32,103,70,42,3,2,.335,.409,.565,.974,28,4,0,6,317,65,17,176,178,0.99,2586,641
26,27," Castillo, R",BOS, ,628329,CF,10,36,6,12,1,0,2,6,3,6,3,0,.333,.400,.528,.928,0,1,0,0,19,3,0,14,5,2.80,133,40
27,27," Chacin, J",COL, ,468504,P,10,15,2,5,1,0,0,0,1,4,0,0,.333,.375,.400,.775,0,0,1,0,6,1,0,5,2,2.50,70,17
28,27," Colon, C",KC, ,518568,2B,21,45,8,15,5,1,0,6,3,4,2,0,.333,.375,.489,.864,0,0,1,0,22,6,1,17,11,1.55,170,49
29,27," Corcino, D",CIN, ,542289,P,5,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,2,0,1,0,0,4,0,*.**,8,5
30,27," Danks, J",CWS, ,433579,P,1,3,0,1,0,0,0,0,0,1,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,0,1,0.00,9,3
31,27," Hill, T",WSH, ,592398,P,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,2,0,*.**,9,3
32,27," Huff, D",NYY, ,453307,P,16,3,1,1,0,0,0,0,0,2,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,0,0,-.--,10,3
33,27," Lane, J",SD, ,407835,P,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,0,2,0.00,9,3
34,27," Norris, B",BAL, ,502032,P,3,3,0,1,0,0,0,1,0,1,0,0,.333,.333,.333,.667,0,0,1,0,1,0,0,2,0,*.**,17,4
35,27," Penny, B",MIA, ,207267,P,8,6,1,2,1,0,0,0,0,3,0,0,.333,.333,.500,.833,0,0,2,0,3,1,0,2,1,2.00,29,8
36,27," Pirela, J",NYY, ,517369,2B,7,24,6,8,1,2,0,3,1,4,0,0,.333,.360,.542,.902,0,0,0,0,13,3,1,8,5,1.60,98,25
37,27," Polanco, J",MIN, ,593871,SS,5,6,2,2,1,1,0,3,2,2,0,0,.333,.500,.833,1.333,0,0,0,0,5,2,0,1,1,1.00,32,8
38,27," Robinson, C",LAD, ,519208,1B,9,9,3,3,0,0,0,2,1,1,0,0,.333,.400,.333,.733,0,0,0,0,3,0,0,3,2,1.50,40,10
39,27," Verlander, J",DET, ,434378,P,3,6,1,2,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,1,0,2,0,0,4,1,4.00,21,7
40,27," Watson, T",PIT, ,453265,P,75,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,0,0,-.--,15,3
41,42," Cuddyer, M",COL, ,150212,RF,49,190,32,63,15,1,10,31,14,30,3,0,.332,.376,.579,.955,0,0,0,1,110,26,5,60,43,1.40,757,205
42,43," Brantley, M",CLE, ,488726,LF,156,611,94,200,45,2,20,97,52,56,23,1,.327,.385,.506,.890,4,8,0,5,309,67,16,208,168,1.24,2415,676
43,44," Beltre, A",TEX, ,134181,3B,148,549,79,178,33,1,19,77,57,74,1,1,.324,.388,.492,.879,13,3,0,5,270,53,15,160,157,1.02,2331,614
44,45," Lind, A",TOR, ,452252,1B,96,290,38,93,24,2,6,40,28,48,0,0,.321,.381,.479,.860,3,0,0,0,139,32,8,85,72,1.18,1269,318
45,46," Morneau, J",COL, ,408047,1B,135,502,62,160,32,3,17,82,34,60,0,3,.319,.364,.496,.860,4,6,0,8,249,52,7,156,141,1.11,1920,550
46,47," Santana, D",MIN, ,542454,SS,101,405,70,129,27,7,7,40,19,98,20,4,.319,.353,.472,.824,0,3,2,1,191,41,3,101,83,1.22,1643,430
47,48," Paulsen, B",COL, ,572019,1B,31,63,8,20,4,0,4,10,2,19,0,0,.317,.348,.571,.920,1,1,0,0,36,8,1,17,8,2.13,248,66
48,49," Abreu, J",CWS, ,547989,1B,145,556,80,176,35,2,36,107,51,131,3,1,.317,.383,.581,.964,15,11,0,4,323,73,14,164,103,1.59,2351,622
49,50," McKenry, M",COL, ,502374,C,57,168,23,53,9,0,8,22,22,42,0,3,.315,.398,.512,.910,1,1,1,0,86,17,6,42,38,1.11,762,192
